task_type,weather,operator_skill,machine_age,estimated_time,actual_time
Earth Excavation,Sunny,Expert,5,44.49,39.01
Earth Excavation,Sunny,Expert,7,23.18,20.51
Trenching,Sunny,Expert,4,91.6,89.19
Grading,Rainy,Intermediate,10,47.82,67.78
Trenching,Windy,Intermediate,5,35.55,44.81
Material Loading,Sunny,Beginner,7,29.67,40.74
Demolition,Cloudy,Beginner,12,65.94,86.07
Grading,Sunny,Expert,5,102.94,99.58
Material Loading,Rainy,Expert,2,24.58,25.6
Material Loading,Sunny,Beginner,14,30.1,39.35
Material Loading,Rainy,Intermediate,6,40.95,49.66
Earth Excavation,Rainy,Expert,12,44.48,53.4
Material Loading,Rainy,Expert,6,104.29,125.98
Trenching,Sunny,Intermediate,7,46.77,47.15
Demolition,Cloudy,Beginner,11,69.92,105.31
Grading,Rainy,Intermediate,3,44.66,55.88
Material Loading,Windy,Expert,7,56.2,65.45
Trenching,Windy,Beginner,13,24.71,33.98
Trenching,Windy,Expert,2,58.48,60.19
Grading,Cloudy,Expert,14,114.24,127.51
Earth Excavation,Cloudy,Expert,6,31.16,30.81
Grading,Sunny,Expert,12,46.34,46.72
Trenching,Sunny,Expert,5,104.17,98.59
Trenching,Rainy,Intermediate,13,36.15,53.47
Demolition,Sunny,Expert,6,68.86,60.59
Material Loading,Cloudy,Beginner,1,44.09,56.86
Earth Excavation,Sunny,Expert,8,101.6,108.2
Demolition,Rainy,Beginner,11,67.53,109.02
Material Loading,Windy,Beginner,9,95.53,142.67
Material Loading,Windy,Expert,11,57.34,68.05
Grading,Sunny,Beginner,4,26.4,29.79
Demolition,Rainy,Expert,4,20.72,24.24
Earth Excavation,Rainy,Beginner,1,105.96,140.88
Trenching,Cloudy,Expert,8,41.42,39.16
Demolition,Windy,Beginner,13,67.3,98.52
Earth Excavation,Sunny,Expert,7,55.43,52.43
Earth Excavation,Sunny,Beginner,7,92.82,126.35
Earth Excavation,Rainy,Beginner,4,73.63,102.33
Trenching,Cloudy,Intermediate,4,107.45,107.37
Demolition,Sunny,Beginner,11,119.93,170.48
Earth Excavation,Rainy,Beginner,7,68.56,99.59
Grading,Sunny,Beginner,7,20.22,25.39
Grading,Cloudy,Intermediate,12,115.73,149.58
Demolition,Windy,Beginner,4,49.67,74.58
Demolition,Sunny,Expert,6,25.72,24.95
Demolition,Rainy,Beginner,9,28.01,41.2
Demolition,Sunny,Expert,14,43.52,41.26
Demolition,Rainy,Expert,10,23.97,26.1
Demolition,Cloudy,Intermediate,4,86.97,91.44
Material Loading,Windy,Beginner,11,84.55,122.82
Earth Excavation,Sunny,Intermediate,10,119.85,144.92
Earth Excavation,Rainy,Expert,5,33.25,36.57
Earth Excavation,Rainy,Intermediate,5,35.77,48.08
Material Loading,Sunny,Expert,14,75.46,84.11
Earth Excavation,Rainy,Intermediate,2,108.97,139.85
Trenching,Cloudy,Intermediate,10,41.06,45.93
Material Loading,Windy,Intermediate,14,25.08,32.29
Material Loading,Sunny,Beginner,6,97.11,126.91
Material Loading,Rainy,Expert,8,75.17,86.41
Earth Excavation,Sunny,Beginner,12,110.39,149.72
Material Loading,Rainy,Intermediate,3,24.18,29.08
Earth Excavation,Cloudy,Beginner,11,44.95,57.87
Demolition,Windy,Expert,12,35.46,42.7
Trenching,Rainy,Intermediate,1,37.94,49.89
Grading,Rainy,Intermediate,3,98.74,112.48
Earth Excavation,Windy,Beginner,4,101.66,138.45
Material Loading,Rainy,Beginner,1,86.0,122.54
Material Loading,Sunny,Intermediate,6,84.15,87.41
Demolition,Cloudy,Beginner,2,107.7,131.81
Demolition,Cloudy,Beginner,2,79.66,99.22
Material Loading,Windy,Expert,9,31.56,36.78
Trenching,Cloudy,Beginner,12,63.61,90.12
Demolition,Rainy,Intermediate,7,27.0,35.81
Material Loading,Cloudy,Expert,14,32.46,37.77
Demolition,Cloudy,Expert,7,52.62,55.31
Demolition,Rainy,Beginner,7,86.49,130.04
Trenching,Cloudy,Intermediate,9,103.37,113.67
Trenching,Windy,Expert,10,85.47,92.43
Grading,Rainy,Expert,8,99.37,126.56
Trenching,Sunny,Intermediate,9,86.39,96.41
Earth Excavation,Rainy,Expert,5,42.46,45.25
Earth Excavation,Sunny,Beginner,8,81.13,110.79
Grading,Windy,Expert,10,39.44,44.64
Grading,Windy,Beginner,3,85.61,104.88
Earth Excavation,Windy,Beginner,3,100.41,141.87
Grading,Sunny,Expert,4,111.75,96.68
Trenching,Windy,Expert,9,118.79,130.63
Grading,Windy,Expert,8,109.72,123.03
Grading,Windy,Intermediate,13,44.72,57.12
Demolition,Windy,Expert,4,47.46,44.74
Material Loading,Rainy,Intermediate,6,51.97,66.64
Trenching,Rainy,Beginner,7,89.39,143.42
Earth Excavation,Windy,Intermediate,6,74.26,85.13
Trenching,Windy,Intermediate,13,78.41,101.27
Demolition,Windy,Intermediate,1,114.27,121.84
Grading,Windy,Expert,12,93.46,109.84
Trenching,Windy,Beginner,5,63.58,79.82
Material Loading,Windy,Expert,3,104.05,115.0
Demolition,Sunny,Intermediate,10,76.44,76.13
Grading,Rainy,Intermediate,3,25.03,30.19
Trenching,Windy,Intermediate,6,96.12,109.37
Grading,Cloudy,Beginner,8,21.94,30.09
Material Loading,Rainy,Expert,2,98.12,111.37
Earth Excavation,Rainy,Beginner,14,22.04,33.67
Trenching,Windy,Expert,2,76.4,72.8
Material Loading,Cloudy,Beginner,10,80.72,117.43
Earth Excavation,Rainy,Intermediate,2,77.87,103.49
Demolition,Windy,Intermediate,12,39.83,49.97
Trenching,Sunny,Expert,13,50.16,52.89
Earth Excavation,Sunny,Intermediate,9,62.84,66.72
Demolition,Cloudy,Beginner,14,62.01,88.9
Grading,Cloudy,Expert,14,65.97,66.14
Trenching,Cloudy,Expert,13,111.96,126.12
Grading,Windy,Expert,10,46.84,54.6
Earth Excavation,Cloudy,Intermediate,4,95.05,105.24
Grading,Cloudy,Beginner,8,105.1,133.92
Trenching,Cloudy,Intermediate,6,47.97,54.42
Material Loading,Sunny,Expert,4,28.56,27.91
Grading,Rainy,Expert,8,84.59,98.48
Earth Excavation,Sunny,Intermediate,4,60.44,59.63
Demolition,Cloudy,Intermediate,9,73.09,82.41
Demolition,Cloudy,Intermediate,12,65.37,73.9
Trenching,Sunny,Expert,4,51.55,50.59
Trenching,Rainy,Beginner,12,68.42,115.3
Demolition,Cloudy,Beginner,14,39.41,53.52
Trenching,Cloudy,Beginner,12,73.41,98.92
Earth Excavation,Cloudy,Expert,3,83.79,85.68
Earth Excavation,Sunny,Expert,5,66.94,62.51
Trenching,Sunny,Intermediate,14,67.77,82.23
Grading,Windy,Beginner,10,82.94,109.68
Trenching,Cloudy,Beginner,4,31.85,43.94
Demolition,Rainy,Expert,7,65.05,74.31
Demolition,Windy,Intermediate,10,82.1,101.52
Earth Excavation,Rainy,Expert,4,46.46,47.81
Trenching,Rainy,Expert,2,35.65,38.55
Demolition,Windy,Intermediate,1,43.15,49.92
Grading,Sunny,Expert,4,112.39,111.25
Demolition,Rainy,Intermediate,2,74.46,93.83
Material Loading,Rainy,Beginner,1,36.59,51.17
Demolition,Cloudy,Intermediate,2,66.87,68.81
Grading,Cloudy,Expert,9,69.38,65.47
Earth Excavation,Windy,Expert,6,80.37,76.34
Trenching,Sunny,Expert,14,46.95,43.74
Trenching,Windy,Expert,11,64.22,67.44
Demolition,Windy,Expert,14,69.17,71.68
Material Loading,Windy,Intermediate,6,87.01,108.71
Material Loading,Windy,Expert,8,48.82,56.85
Demolition,Sunny,Intermediate,2,51.45,50.62
Grading,Sunny,Expert,14,74.26,74.87
Trenching,Cloudy,Expert,13,69.85,73.72
Earth Excavation,Rainy,Intermediate,9,33.1,41.46
Grading,Sunny,Beginner,11,80.89,102.13
Trenching,Cloudy,Expert,1,75.23,65.96
Earth Excavation,Windy,Beginner,11,103.21,151.17
Material Loading,Cloudy,Intermediate,14,68.25,81.24
Grading,Rainy,Intermediate,4,112.19,140.24
Trenching,Sunny,Intermediate,13,99.0,109.97
Demolition,Cloudy,Beginner,5,92.61,130.79
Demolition,Windy,Beginner,8,73.86,102.03
Demolition,Windy,Intermediate,6,106.96,136.71
Trenching,Windy,Beginner,14,97.55,133.4
Grading,Windy,Intermediate,11,99.24,124.86
Trenching,Windy,Beginner,3,70.23,97.21
Earth Excavation,Windy,Beginner,9,111.04,144.28
Trenching,Windy,Expert,3,27.48,29.6
Material Loading,Cloudy,Expert,12,59.75,57.93
Material Loading,Windy,Intermediate,11,91.87,117.99
Demolition,Sunny,Expert,2,43.48,41.39
Material Loading,Rainy,Expert,2,63.4,64.23
Earth Excavation,Windy,Beginner,12,49.95,66.89
Material Loading,Sunny,Intermediate,6,57.48,56.61
Demolition,Windy,Expert,11,99.25,101.87
Earth Excavation,Windy,Expert,11,44.08,52.44
Trenching,Rainy,Intermediate,11,45.4,57.51
Earth Excavation,Windy,Intermediate,11,74.66,83.39
Material Loading,Cloudy,Expert,7,89.03,89.25
Material Loading,Rainy,Intermediate,14,68.32,88.55
Demolition,Cloudy,Expert,5,119.27,113.5
Grading,Cloudy,Beginner,10,106.51,155.84
