engine_hours,fuel_used,load_cycles,idling_time,seatbelt_status,safety_alert
855.0,4.0,12,22.0,1,0
2665.8,6.7,7,23.1,1,0
581.4,7.9,13,20.3,1,0
750.3,6.3,12,11.6,1,0
4337.6,2.7,9,28.0,1,0
3466.6,5.6,6,10.0,1,0
4457.0,2.6,17,19.8,1,0
1631.2,5.5,9,19.2,1,0
1128.2,3.2,9,8.3,1,0
1663.8,4.6,6,8.2,1,0
871.7,2.7,14,16.8,1,0
601.6,5.3,13,9.6,1,0
793.6,6.2,9,17.2,1,0
939.2,3.9,19,10.2,1,0
2273.9,2.8,12,27.1,1,0
347.2,4.3,6,12.8,1,0
977.0,5.6,14,18.9,1,0
3481.6,4.7,10,9.4,1,0
4105.5,6.3,15,24.3,1,0
484.9,7.5,17,14.0,1,0
745.8,6.9,19,21.0,1,0
576.6,3.9,15,21.3,1,0
2380.4,3.4,8,4.3,1,0
4488.9,3.5,10,11.8,1,0
3528.1,6.0,17,25.8,1,0
1691.3,4.9,6,14.3,1,0
1822.1,4.8,7,8.5,1,0
1808.2,5.4,13,3.1,1,0
4106.0,6.8,10,16.7,1,0
447.5,3.8,12,12.0,1,0
2125.9,5.7,13,4.8,1,0
2463.6,2.4,8,24.4,1,0
2995.8,6.7,11,17.0,1,0
1776.8,6.2,7,19.9,1,0
481.7,7.6,14,25.1,1,0
660.2,5.6,10,16.7,1,0
4127.9,3.1,11,2.1,1,0
632.8,6.9,17,24.6,1,0
1704.3,5.9,5,2.7,1,0
4103.5,7.3,19,22.6,1,0
4068.2,6.5,15,4.5,1,0
2703.2,4.3,14,13.4,1,0
1107.7,7.3,9,17.1,1,0
4574.7,3.8,19,13.0,1,0
4914.6,4.1,6,17.5,1,0
3096.3,5.1,18,3.8,1,0
1541.5,4.2,13,29.0,1,0
104.1,5.4,10,3.3,1,0
1482.8,2.2,11,21.1,1,0
2031.9,3.9,11,12.2,1,0
2232.4,3.3,7,14.2,1,0
1022.3,4.3,19,10.8,1,0
2144.5,3.7,18,20.1,1,0
758.0,2.4,5,4.3,1,0
4436.0,5.9,7,2.5,1,0
3247.0,4.5,12,26.8,1,0
3507.4,7.6,14,5.4,1,0
2596.1,5.3,12,11.5,1,0
1206.1,4.5,5,17.3,1,0
4249.3,3.4,13,8.1,1,0
4640.2,5.5,5,29.3,1,0
2883.9,6.2,6,17.4,1,0
4812.5,2.5,16,21.9,1,0
4919.5,7.9,17,8.4,1,0
2633.1,5.1,14,2.7,1,0
2415.0,6.5,15,2.3,1,0
3205.1,6.8,9,18.4,1,0
4527.6,5.2,5,14.1,1,0
2612.0,4.8,16,9.9,1,0
1829.3,7.9,9,8.7,1,0
273.1,7.5,16,9.1,1,0
3946.6,3.6,15,14.2,1,0
928.5,2.3,9,24.3,1,0
3159.2,3.7,6,3.8,1,0
476.6,6.7,9,4.0,1,0
1476.8,7.1,5,22.2,1,0
3058.7,7.5,16,4.5,1,0
2288.6,6.8,9,23.5,1,0
1257.4,3.1,13,25.9,1,0
1780.0,2.5,7,17.9,1,0
4126.4,7.0,17,29.8,1,0
3874.8,3.4,12,21.8,1,0
919.7,5.5,18,10.4,1,0
3247.1,6.5,6,1.6,1,0
2373.7,4.9,12,22.4,1,0
3786.9,5.2,11,20.5,1,0
2011.3,3.6,13,26.1,1,0
158.1,7.6,12,11.5,1,0
1646.9,5.2,5,2.9,1,0
